order_id,order_date,order_time,customer_id,neighborhood,channel,payment_method,promotion,pizza_id,pizza_name,pizza_category,size_cm,dough_type,quantity,unit_price_eur,line_total_eur
CMD0032,2026-01-01,12:45,CLI029,Centre-ville,Sur place,Titres restaurant,Aucune,P002,Orientale,Viande,30,Épaisse,1,16.88,16.88
CMD0032,2026-01-01,12:45,CLI029,Centre-ville,Sur place,Titres restaurant,Aucune,P006,Végétarienne,Végétarienne,50,Épaisse,1,24.15,24.15
CMD0010,2026-01-01,20:30,CLI063,Les Halles,Sur place,Espèces,-20%,P004,Reine,Classique,40,Épaisse,1,20.4,16.32
CMD0019,2026-01-02,18:00,CLI010,Les Halles,À emporter,Titres restaurant,Aucune,P004,Reine,Classique,20,Classique,1,12.0,12.0
CMD0019,2026-01-02,18:00,CLI010,Les Halles,À emporter,Titres restaurant,Aucune,P005,4 Fromages,Fromage,30,Sans gluten,1,19.05,19.05
CMD0019,2026-01-02,18:00,CLI010,Les Halles,À emporter,Titres restaurant,Aucune,P001,Margherita,Classique,30,Fine,2,12.83,25.66
CMD0008,2026-01-02,21:00,CLI069,Les Halles,Livraison,Titres restaurant,Aucune,P008,Chèvre-Miel,Sucré-salé,10,Fine,1,9.95,9.95
CMD0140,2026-01-03,14:15,CLI009,Centre-ville,Sur place,Carte bancaire,Aucune,P001,Margherita,Classique,20,Classique,1,9.5,9.5
CMD0139,2026-01-03,15:45,CLI070,Gare,À emporter,Espèces,-20%,P003,Hawaienne,Sucré-salé,20,Épaisse,1,11.5,9.2
CMD0139,2026-01-03,15:45,CLI070,Gare,À emporter,Espèces,-20%,P002,Orientale,Viande,10,Fine,1,8.75,7.0
CMD0166,2026-01-03,16:00,CLI022,Gare,Livraison,Titres restaurant,Aucune,P006,Végétarienne,Végétarienne,30,Sans gluten,1,17.53,17.53
CMD0166,2026-01-03,16:00,CLI022,Gare,Livraison,Titres restaurant,Aucune,P007,Pepperoni,Viande,30,Classique,1,16.7,16.7
CMD0114,2026-01-04,12:00,CLI083,Zone résidentielle,Livraison,Espèces,-10%,P001,Margherita,Classique,30,Fine,1,13.33,12.0
CMD0052,2026-01-06,13:45,CLI067,Zone résidentielle,Livraison,Espèces,Aucune,P008,Chèvre-Miel,Sucré-salé,50,Classique,1,28.85,28.85
CMD0046,2026-01-07,19:30,CLI017,Centre-ville,À emporter,Espèces,Aucune,P008,Chèvre-Miel,Sucré-salé,30,Classique,2,18.23,36.46
CMD0046,2026-01-07,19:30,CLI017,Centre-ville,À emporter,Espèces,Aucune,P005,4 Fromages,Fromage,40,Classique,1,22.1,22.1
CMD0014,2026-01-07,21:00,CLI008,Centre-ville,À emporter,Espèces,-20%,P004,Reine,Classique,30,Classique,1,16.2,12.96
CMD0112,2026-01-08,12:15,CLI039,Gare,Sur place,Espèces,Menu étudiant,P005,4 Fromages,Fromage,40,Classique,1,22.1,18.79
CMD0141,2026-01-08,13:30,CLI030,Zone résidentielle,Livraison,Titres restaurant,Aucune,P006,Végétarienne,Végétarienne,20,Épaisse,2,12.0,24.0
CMD0141,2026-01-08,13:30,CLI030,Zone résidentielle,Livraison,Titres restaurant,Aucune,P004,Reine,Classique,20,Classique,1,12.5,12.5
CMD0100,2026-01-09,12:45,CLI077,Gare,À emporter,Titres restaurant,Aucune,P005,4 Fromages,Fromage,20,Fine,1,13.0,13.0
CMD0100,2026-01-09,12:45,CLI077,Gare,À emporter,Titres restaurant,Aucune,P007,Pepperoni,Viande,20,Fine,1,12.0,12.0
CMD0057,2026-01-09,15:45,CLI044,Centre-ville,Livraison,Titres restaurant,Aucune,P005,4 Fromages,Fromage,40,Fine,1,22.6,22.6
CMD0137,2026-01-09,18:00,CLI037,Université,À emporter,Carte bancaire,-10%,P007,Pepperoni,Viande,20,Épaisse,1,12.0,10.8
CMD0156,2026-01-10,12:30,CLI020,Université,À emporter,Titres restaurant,Aucune,P002,Orientale,Viande,20,Épaisse,1,12.5,12.5
CMD0067,2026-01-10,13:15,CLI051,Université,Livraison,Titres restaurant,Aucune,P002,Orientale,Viande,30,Fine,1,17.38,17.38
CMD0159,2026-01-10,16:30,CLI032,Gare,Livraison,Espèces,Aucune,P003,Hawaienne,Sucré-salé,20,Épaisse,1,12.0,12.0
CMD0159,2026-01-10,16:30,CLI032,Gare,Livraison,Espèces,Aucune,P007,Pepperoni,Viande,40,Classique,1,20.9,20.9
CMD0013,2026-01-10,19:15,CLI036,Zone résidentielle,Livraison,Carte bancaire,Aucune,P004,Reine,Classique,30,Épaisse,1,16.7,16.7
CMD0013,2026-01-10,19:15,CLI036,Zone résidentielle,Livraison,Carte bancaire,Aucune,P002,Orientale,Viande,30,Classique,1,17.38,17.38
CMD0038,2026-01-11,18:00,CLI070,Centre-ville,Sur place,Espèces,Aucune,P001,Margherita,Classique,30,Épaisse,1,12.83,12.83
CMD0038,2026-01-11,18:00,CLI070,Centre-ville,Sur place,Espèces,Aucune,P001,Margherita,Classique,30,Classique,1,12.83,12.83
CMD0138,2026-01-11,21:15,CLI084,Zone résidentielle,Livraison,Carte bancaire,Aucune,P003,Hawaienne,Sucré-salé,30,Classique,1,16.03,16.03
CMD0175,2026-01-13,13:45,CLI008,Gare,Livraison,Titres restaurant,Aucune,P006,Végétarienne,Végétarienne,40,Fine,1,20.05,20.05
CMD0150,2026-01-13,19:15,CLI031,Les Halles,Sur place,Titres restaurant,Aucune,P007,Pepperoni,Viande,20,Sans gluten,1,13.5,13.5
CMD0061,2026-01-13,21:00,CLI057,Centre-ville,Sur place,Espèces,Menu étudiant,P001,Margherita,Classique,20,Classique,1,9.5,8.07
CMD0071,2026-01-13,21:30,CLI070,Université,Livraison,Titres restaurant,Aucune,P002,Orientale,Viande,40,Épaisse,1,21.75,21.75
CMD0020,2026-01-14,13:30,CLI015,Les Halles,Livraison,Titres restaurant,Aucune,P004,Reine,Classique,30,Classique,1,16.7,16.7
CMD0039,2026-01-15,20:15,CLI060,Zone résidentielle,Livraison,Espèces,Aucune,P002,Orientale,Viande,30,Classique,1,17.38,17.38
CMD0039,2026-01-15,20:15,CLI060,Zone résidentielle,Livraison,Espèces,Aucune,P001,Margherita,Classique,40,Fine,2,16.65,33.3
CMD0039,2026-01-15,20:15,CLI060,Zone résidentielle,Livraison,Espèces,Aucune,P007,Pepperoni,Viande,20,Fine,1,12.5,12.5
CMD0078,2026-01-16,17:30,CLI055,Les Halles,Livraison,Titres restaurant,Aucune,P006,Végétarienne,Végétarienne,20,Classique,1,12.0,12.0
CMD0078,2026-01-16,17:30,CLI055,Les Halles,Livraison,Titres restaurant,Aucune,P008,Chèvre-Miel,Sucré-salé,20,Classique,1,14.0,14.0
CMD0076,2026-01-17,15:30,CLI049,Zone résidentielle,Livraison,Titres restaurant,Aucune,P002,Orientale,Viande,30,Classique,1,17.38,17.38
CMD0076,2026-01-17,15:30,CLI049,Zone résidentielle,Livraison,Titres restaurant,Aucune,P004,Reine,Classique,20,Épaisse,1,12.5,12.5
CMD0179,2026-01-17,21:30,CLI021,Les Halles,Livraison,Espèces,Aucune,P006,Végétarienne,Végétarienne,30,Fine,1,16.03,16.03
CMD0073,2026-01-19,20:00,CLI036,Zone résidentielle,Livraison,Carte bancaire,Menu étudiant,P003,Hawaienne,Sucré-salé,20,Épaisse,1,12.0,10.2
CMD0059,2026-01-20,18:00,CLI017,Centre-ville,À emporter,Titres restaurant,Aucune,P008,Chèvre-Miel,Sucré-salé,20,Épaisse,1,13.5,13.5
CMD0059,2026-01-20,18:00,CLI017,Centre-ville,À emporter,Titres restaurant,Aucune,P003,Hawaienne,Sucré-salé,20,Fine,1,11.5,11.5
CMD0059,2026-01-20,18:00,CLI017,Centre-ville,À emporter,Titres restaurant,Aucune,P008,Chèvre-Miel,Sucré-salé,30,Classique,1,18.23,18.23
CMD0058,2026-01-20,18:45,CLI045,Les Halles,À emporter,Titres restaurant,Aucune,P004,Reine,Classique,30,Classique,1,16.2,16.2
CMD0058,2026-01-20,18:45,CLI045,Les Halles,À emporter,Titres restaurant,Aucune,P001,Margherita,Classique,20,Classique,2,9.5,19.0
CMD0058,2026-01-20,18:45,CLI045,Les Halles,À emporter,Titres restaurant,Aucune,P007,Pepperoni,Viande,20,Fine,1,12.0,12.0
CMD0005,2026-01-21,18:45,CLI035,Gare,Livraison,Titres restaurant,-10%,P001,Margherita,Classique,20,Classique,1,10.0,9.0
